  income  count
 35400.0      4
 35460.0      6
 35640.0      6
 35700.0      2
 35760.0      1
 35820.0      5
 35880.0      2
 35940.0      2
 36000.0      9
 36060.0      1
 36120.0      3
 36180.0      1
 36300.0      2
 36420.0      2
 36480.0      1
 36540.0      1
 36600.0      3
 36660.0      2
 36720.0      2
 36780.0      2
 36840.0      5
 36900.0      2
 36960.0      3
 37020.0      1
 37080.0      2
 37140.0      1
 37200.0      5
 37260.0      5
 37320.0      2
 37380.0      1
 37440.0      3
 37500.0      2
 37560.0      7
 37620.0      1
 37680.0      2
 37740.0      3
 37800.0      5
 37860.0      3
 38040.0      2
 38160.0      2
 38220.0      1
 38280.0      4
 38400.0      4
 38460.0      2
 38520.0      2
 38580.0      1
 38640.0      2
 38760.0      2
 38820.0      4
 38880.0      4
 38940.0      4
 39000.0      6
 39060.0      2
 39120.0      1
 39180.0      3
 39240.0      3
 39300.0      3
 39360.0      4
 39420.0      3
 39480.0      3
 39600.0      2
 39660.0      1
 39720.0      2
 39840.0      2
 39900.0      2
 39960.0      4
 40020.0      1
 40080.0      1
 40200.0      2
 40260.0      3
 40320.0      2
 40380.0      1
 40440.0      2
 40500.0      2
 40620.0      2
 40680.0      1
 40740.0      1
 40800.0      2
 40860.0      4
 40920.0      1
 40980.0      1
 41160.0      1
 41400.0      2
 41460.0      3
 41520.0      3
 41580.0      2
 41640.0      1
 41700.0      4
 41760.0      3
 41820.0      3
 41880.0      1
 42000.0      3
 42060.0      2
 42120.0      3
 42180.0      2
 42240.0      2
 42300.0      3
 42360.0      2
 42420.0      1
 42480.0      4
 42600.0      4
 42660.0      1
 42720.0      2
 42780.0      1
 42840.0      2
 42900.0      2
 42960.0      1
 43020.0      1
 43080.0      3
 43140.0      2
 43200.0      1
 43260.0      2
 43320.0      2
 43440.0      1
 43500.0      6
 43560.0      3
 43800.0      2
 43860.0      1
 43920.0      1
 43980.0      2
 44100.0      1
 44160.0      1
 44220.0      1
 44340.0      1
 44400.0      1
 44460.0      1
 44580.0      3
 44640.0      1
 44940.0      1
 45000.0      4
 45120.0      1
 45240.0      1
 45300.0      1
 45360.0      3
 45480.0      1
 45600.0      2
 45900.0      1
 45960.0      1
 46080.0      2
 46140.0      2
 46200.0      1
 46500.0      1
 46560.0      1
 46620.0      2
 46740.0      3
 46800.0      2
 46860.0      1
 46920.0      1
 47040.0      2
 47100.0      3
 47160.0      1
 47220.0      2
 47280.0      2
 47700.0      1
 47760.0      2
 47880.0      1
